county,batch,page_type,url,external,notes
Mills,3,elections,https://www.millscountytx.gov/page/Elections.Home,false,"found via link ""Elections & Voting"" score=25"
Mills,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Mills,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Mills,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Mitchell,3,elections,https://www.co.mitchell.tx.us/page/Elections,false,"found via link ""Elections"" score=20"
Mitchell,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Mitchell,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Mitchell,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Montague,3,elections,https://www.co.montague.tx.us/page/montague.Elections,false,"found via link ""Elections"" score=20"
Montague,3,polling,https://www.co.montague.tx.us/page/montague.PollingTimes,false,"found via ""Polling Times & Locations"" score=9"
Montague,3,early_voting,https://www.co.montague.tx.us/page/montague.EarlyVotingRosters,false,"found via ""Early Voting Rosters"" score=11"
Montague,3,results,https://www.co.montague.tx.us/page/montague.ElectionResults,false,"found via ""Election Results"" score=21"
Montgomery,3,elections,https://elections.mctx.org,false,"found via link ""Elections"" score=32"
Montgomery,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Montgomery,3,early_voting,https://elections.mctx.org/evPolls.asp?ELID=96&curLang=English&ElectionId=CON061326,false,"found via ""Early Voting Locations & Times"" score=24"
Montgomery,3,results,https://elections.mctx.org/ElectionResults.asp,false,"found via ""Montgomery County Election Results"" score=21"
Moore,3,elections,https://www.co.moore.tx.us/page/moore.Elections,false,"found via link ""Elections"" score=20"
Moore,3,polling,,false,GAP: candidate is non-HTML (application/msword) — out of scope
Moore,3,early_voting,,false,GAP: candidate unreachable (https://www.co.moore.tx.us/upload/page/4507/2023/early_voting_locations_english.docx)
Moore,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Morris,3,elections,https://www.co.morris.tx.us/page/morris.COUNTY%20Election%20Information,false,"found via link ""Elections"" score=15"
Morris,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Morris,3,early_voting,,false,GAP: candidate is non-HTML (text/plain) — out of scope
Morris,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Motley,3,elections,https://www.co.motley.tx.us/page/motley.Elections,false,"found via link ""Elections"" score=20 [via motley.County.Clerk page]"
Motley,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Motley,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Motley,3,results,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Nacogdoches,3,elections,https://www.nacogdochesco.gov/164/Election-Results,false,"found via link ""Elections Click here to see the results!"" score=9"
Nacogdoches,3,polling,,false,GAP: candidate unreachable (https://www.nacogdochesco.gov/DocumentCenter/View/129/2026-05-26---Total-Votes-Cast-at-Each-Polling-Location)
Nacogdoches,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Nacogdoches,3,results,,false,GAP: candidate is non-HTML (application/pdf) — out of scope
Navarro,3,elections,https://www.co.navarro.tx.us/page/Elections,false,"found via link ""Elections & Voting"" score=25"
Navarro,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Navarro,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Navarro,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Newton,3,elections,https://www.co.newton.tx.us/page/newton.voterregistration,false,"found via link ""Voter Registration"" score=13"
Newton,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Newton,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Newton,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Nolan,3,elections,https://www.co.nolan.tx.us/page/nolan.Elections,false,"found via link ""Elections/Elecciones"" score=12 [via headless render]"
Nolan,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Nolan,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Nolan,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Nueces,3,elections,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403); needs manual URL discovery
Nueces,3,polling,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403); needs manual URL discovery
Nueces,3,early_voting,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403); needs manual URL discovery
Nueces,3,results,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403); needs manual URL discovery
Ochiltree,3,elections,https://www.co.ochiltree.tx.us/page/ochiltree.Elections,false,"found via link ""Elections"" score=20"
Ochiltree,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Ochiltree,3,early_voting,,false,GAP: candidate is non-HTML (text/plain) — out of scope
Ochiltree,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Oldham,3,elections,https://www.co.oldham.tx.us/page/Elections.Home,false,"found via link ""Elections & Voting"" score=25"
Oldham,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Oldham,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Oldham,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Orange,3,elections,https://www.co.orange.tx.us/directory/ElectionsAdministration,false,"found via link ""Elections Administration"" score=20 [via directory page]"
Orange,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Orange,3,early_voting,https://www.co.orange.tx.us/EarlyVotingTotals,false,"found via ""Early Voting Totals"" score=11"
Orange,3,results,https://www.co.orange.tx.us/ElectionResults,false,"found via ""Election Results"" score=21"
Palo Pinto,3,elections,https://www.co.palo-pinto.tx.us/page/Elections,false,"found via link ""Elections"" score=20"
Palo Pinto,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Palo Pinto,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Palo Pinto,3,results,https://www.co.palo-pinto.tx.us/page/ELECTIONRESULTS,false,"found via ""Election Results"" score=21"
Panola,3,elections,https://www.co.panola.tx.us/1201/Elections,false,"found via link ""Elections"" score=20"
Panola,3,polling,,false,GAP: candidate is non-HTML (application/pdf) — out of scope
Panola,3,early_voting,,false,GAP: candidate is non-HTML (application/pdf) — out of scope
Panola,3,results,,false,GAP: candidate is non-HTML (application/pdf) — out of scope
Parker,3,elections,https://www.parkercountytx.gov/Directory.aspx?did=43,false,"found via link ""Elections"" score=20 [via directory page]"
Parker,3,polling,,false,GAP: candidate is non-HTML (application/pdf) — out of scope
Parker,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Parker,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Parmer,3,elections,https://parmercounty.texas.gov/?page_id=334,false,"found via link ""Elections"" score=20"
Parmer,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Parmer,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Parmer,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Pecos,3,elections,https://www.co.pecos.tx.us/election-information/,false,"found via link ""Election Information"" score=9"
Pecos,3,polling,https://www.co.pecos.tx.us/pecos-county-precinct-map/,false,"found via ""Pecos County Precinct Map"" score=5 (weak match — review)"
Pecos,3,early_voting,https://www.co.pecos.tx.us/general-voter-election-information/,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Pecos,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Polk,3,elections,https://www.polktx.gov/313/Elections,false,"found via link ""Elections"" score=20"
Polk,3,polling,,false,GAP: candidate is non-HTML (application/pdf) — out of scope
Polk,3,early_voting,,false,GAP: candidate unreachable (https://www.polktx.gov/DocumentCenter/View/941)
Polk,3,results,https://www.polktx.gov/389/Election-Results,false,"found via ""Election Results"" score=21"
Potter,3,elections,https://www-pottercountytexasvotes-gov.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp&_x_tr_hist=true,true,"dedicated elections portal, reached via www.pottercountytexasvotes.gov"
Potter,3,polling,https://www-pottercountytexasvotes-gov.translate.goog/copy-of-where-to-vote?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp,true,no standing polling page; using per-election hub page (shared with other types) — review
Potter,3,early_voting,https://www-pottercountytexasvotes-gov.translate.goog/early-voting-locations?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp,true,"found via ""Early Voting Locations"" score=22"
Potter,3,results,https://www-pottercountytexasvotes-gov.translate.goog/archived-election-results?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp,true,"found via ""Archived Election Results"" score=21"
Rains,3,elections,https://www.co.rains.tx.us/page/rains.Elections,false,"found via link ""Elections Department"" score=20"
Rains,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Rains,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Rains,3,results,,false,GAP: no distinct page found (likely folded into elections page)
Randall,3,elections,https://www.randallcounty.gov/171/Voter-Registration,false,"found via link ""Voter Registration"" score=13"
Randall,3,polling,,false,GAP: no distinct page found (likely folded into elections page)
Randall,3,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Randall,3,results,,false,GAP: no distinct page found (likely folded into elections page)
