county,facts_stated,pages_captured,has_elections_page,mentions_nov3,mentions_past_2026,elections_referenced,nov3_mentions,last_text_change,days_since_change
brooks,3,2,yes,yes,yes,May 2 uniform (past); Mar 3 primary (past); Nov 3 general (upcoming); May 26 primary runoff (past),4,2026-08-20,0
brown,4,2,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),2,2026-08-20,0
burleson,0,5,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-20,0
burnet,3,5,yes,yes,yes,Mar 3 primary (past); May 26 primary runoff (past); May 2 uniform (past); Nov 3 general (upcoming),3,2026-08-20,0
caldwell,3,5,yes,yes,yes,Nov 3 general (upcoming); May 2 uniform (past); Mar 3 primary (past); May 26 primary runoff (past),14,2026-08-20,0
calhoun,1,4,yes,yes,yes,Nov 3 general (upcoming); May 2 uniform (past); May 26 primary runoff (past); Mar 3 primary (past),2,2026-08-15,5
callahan,2,2,yes,yes,yes,Mar 3 primary (past); May 26 primary runoff (past); Nov 3 general (upcoming); May 2 uniform (past),1,2026-08-20,0
cameron,2,5,yes,no,yes,Jun 13 runoff (past); May 2 uniform (past),0,2026-08-11,9
camp,0,2,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-05,15
carson,3,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming); Mar 3 primary (past); May 2 uniform (past),4,2026-08-11,9
cass,1,2,yes,yes,yes,Mar 3 primary (past); Nov 3 general (upcoming); May 26 primary runoff (past),2,2026-08-20,0
castro,0,2,yes,no,yes,Mar 3 primary (past),0,2026-08-15,5
chambers,1,4,yes,yes,yes,May 2 uniform (past); May 26 primary runoff (past); Nov 3 general (upcoming),2,2026-08-20,0
cherokee,1,3,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming),1,2026-08-16,4
childress,2,2,yes,no,yes,Mar 3 primary (past),0,2026-08-18,2
clay,1,3,yes,no,yes,Mar 3 primary (past),0,2026-08-12,8
cochran,0,2,yes,no,yes,Mar 3 primary (past); May 2 uniform (past),0,2026-08-13,7
coke,2,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming); Mar 3 primary (past),2,2026-08-20,0
coleman,0,4,yes,no,no,none of the 2026 calendar,0,2026-08-08,12
collin,0,4,yes,no,yes,Jun 13 runoff (past),0,2026-08-18,2
collingsworth,2,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming); May 2 uniform (past); Mar 3 primary (past),2,2026-08-18,2
colorado,1,3,yes,yes,yes,Nov 3 general (upcoming); May 2 uniform (past); May 26 primary runoff (past); Mar 3 primary (past),3,2026-08-18,2
comal,2,3,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); Mar 3 primary (past); May 26 primary runoff (past); Jun 13 runoff (past),8,2026-08-18,2
comanche,3,4,yes,yes,no,Nov 3 general (upcoming),10,2026-08-20,0
concho,2,3,yes,yes,no,Nov 3 general (upcoming),10,2026-08-20,0
cooke,1,2,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),2,2026-08-20,0
coryell,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
cottle,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
crane,3,3,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); Mar 3 primary (past),2,2026-08-15,5
crockett,0,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-20,0
crosby,0,2,yes,no,no,none of the 2026 calendar,0,2026-07-28,23
culberson,0,4,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-01,19
dallam,0,2,yes,no,yes,May 26 primary runoff (past),0,2026-08-20,0
dallas,2,5,yes,yes,no,Nov 3 general (upcoming),4,2026-08-20,0
dawson,1,4,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); May 26 primary runoff (past); Mar 3 primary (past); Jun 13 runoff (past),4,2026-08-20,0
deaf_smith,0,2,yes,no,no,none of the 2026 calendar,0,2026-07-28,23
delta,0,4,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-18,2
denton,3,5,yes,yes,yes,May 26 primary runoff (past); Mar 3 primary (past); Nov 3 general (upcoming); Jun 13 runoff (past); May 2 uniform (past),1,2026-08-20,0
dewitt,3,3,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),4,2026-08-18,2
dickens,2,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming),1,2026-08-20,0
dimmit,1,2,yes,yes,yes,May 2 uniform (past); Mar 3 primary (past); May 26 primary runoff (past); Nov 3 general (upcoming),2,2026-07-28,23
donley,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-05,15
duval,0,2,yes,no,no,none of the 2026 calendar,0,2026-07-28,23
eastland,3,2,yes,yes,yes,May 2 uniform (past); Mar 3 primary (past); May 26 primary runoff (past); Nov 3 general (upcoming),2,2026-08-13,7
ector,1,2,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-20,0
edwards,0,4,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-01,19
el_paso,3,5,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past),4,2026-08-20,0
ellis,0,5,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
erath,3,4,yes,yes,yes,Nov 3 general (upcoming); Mar 3 primary (past); May 2 uniform (past); May 26 primary runoff (past),18,2026-08-20,0
falls,0,2,yes,no,yes,May 2 uniform (past); May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-14,6
fannin,3,2,yes,yes,yes,Mar 3 primary (past); May 26 primary runoff (past); Nov 3 general (upcoming); May 2 uniform (past); Jun 13 runoff (past),3,2026-08-20,0
fayette,1,3,yes,yes,yes,Mar 3 primary (past); Nov 3 general (upcoming); May 2 uniform (past); May 26 primary runoff (past),3,2026-08-20,0
